candidate,office,election_year,filing_date,reporting_period,filing_type,stated_total_contributions,stated_total_expenditures,stated_beginning_balance,stated_ending_balance,itemized_contrib_sum,itemized_expend_sum,reconciles_contrib,reconciles_expend,recon_delta_contrib,recon_delta_expend,self_funded_amount,n_contrib_rows,n_expend_rows,source_filing,document_id,extraction_confidence,notes
Barnard Jon White,County Council,2008,2008-10-22,Pre-General,c_and_e_report,922,922,,0,,,,,,,,0,0,raw/2008/2008_wb_bjwhite.pdf,cache_county|37f2239268f3|raw/2008/2008_wb_bjwhite.pdf,high,'TOTALS FROM LAST REPORT' column left entirely blank.
Jensen,Sheriff,2014,2014-10-28,Pre-General,c_and_e_report,2295.00,5476.11,,-3181.11,,,,,,,,0,0,raw/2014/2014_cc_Jensen_10_28_14_campaign_finance.pdf,cache_county|0dd596e40cbc|raw/2014/2014_cc_Jensen_10_28_14_campaign_finance.pdf,medium,LAST-REPORT column carries slashed-O zero glyphs.
Jensen,Sheriff,2014,2014-12-04,Final / Year-End Summary,c_and_e_report,2295,5474,,-3181.11,,,,,,,,0,0,raw/2014/2014_cc_Jensen_Dec_4_2014_campaign_finance.pdf,cache_county|3a5931fd88d7|raw/2014/2014_cc_Jensen_Dec_4_2014_campaign_finance.pdf,medium,"Line 3 CUMULATIVE reads '5474' — one digit different from the LAST-REPORT '5476.11' on the same line and from the filer's own October report (5476.11). Transcribed as written, NOT corrected. Line 4 LAST-REPORT is written '3181' with no minus sign while the CUMULATIVE box is '-3181'; both retained as filed. Cents on lines 3-4 are superscript double-prime marks."
Nelson,Sheriff,2014,2014-12-04,Final / Year-End Summary,c_and_e_report,3606.80,3606.80,,0,,,,,,,,0,0,raw/2014/2014_cc_Nelson_Dec_4_2014_campaign_finance.pdf,cache_county|4dcbee95507a|raw/2014/2014_cc_Nelson_Dec_4_2014_campaign_finance.pdf,medium,Line 4 boxes carry a slashed-zero glyph. LAST-REPORT column blank throughout.
Jeppesen,Treasurer,2014,2014-12-04,Final / Year-End Summary,c_and_e_report,,,,,,,,,,,,0,0,raw/2014/2014_cc_Jeppesen_Dec_4_2014_campaign_finance.pdf,cache_county|64c381d9385c|raw/2014/2014_cc_Jeppesen_Dec_4_2014_campaign_finance.pdf,high,"⚠ OFFICE FROM AN ANNOTATION, NOT THE OFFICE LINE: the printed 'Name of Office' line reads 'N/A'; the filer instead struck out 'Candidate' on the name line and wrote 'Incumbent Treasurer'. office_std=Treasurer is recorded at MEDIUM confidence on that basis. All twelve totals boxes are entirely blank — a nil report with no figures at all."
Lindsay,Treasurer,2014,2014-07-25,Pre-Primary,c_and_e_report,1350.00,34943.19,,-33593.19,,,,,,,,0,0,raw/2014/2014_cc_Lindsay_July_campaign_finance.pdf,cache_county|a47a146255ec|raw/2014/2014_cc_Lindsay_July_campaign_finance.pdf,high,"TYPEWRITTEN filing. Line 4 CUMULATIVE is written in parentheses '( 33,593.19 )' — accounting notation for a negative balance; recorded verbatim (the builder reads parenthesised figures as negative)."
McAllister,Treasurer,2014,2014-10-28,Pre-General,c_and_e_report,11681.62,11681.62,,0,,,,,,,,0,0,raw/2014/2014_cc_McAllister_10_28_14_campaign_finance.pdf,cache_county|d16c015d659f|raw/2014/2014_cc_McAllister_10_28_14_campaign_finance.pdf,medium,"Line 2 THIS-REPORT reads '115.85' but the CUMULATIVE box on the same line reads '115.42' — an internal disagreement retained as filed, not reconciled (the filer's own December report uses 115.42)."
McAllister,Treasurer,2014,2014-12-04,Final / Year-End Summary,c_and_e_report,12181.62,11681.62,,0,,,,,,,,0,0,raw/2014/2014_cc_McAllister_Dec_4_2014_campaign_finance.pdf,cache_county|88f7fd9bdb2c|raw/2014/2014_cc_McAllister_Dec_4_2014_campaign_finance.pdf,high,Cents are written as superscript on several boxes.
Norton,Treasurer,2014,2014-12-04,Final / Year-End Summary,c_and_e_report,1100.00,729.40,,370.60,,,,,,,,0,0,raw/2014/2014_cc_Norton_Dec_4_2014_campaign_finance.pdf,cache_county|55331e37ab4f|raw/2014/2014_cc_Norton_Dec_4_2014_campaign_finance.pdf,medium,A hand-written note below the totals block reads '* See Attached Bank Statement Closing Account'. Line 2 boxes carry a slashed-O zero. Cents are superscript.
Pitcher,Treasurer,2014,2014-10-28,Pre-General,c_and_e_report,4489.00,14072.69,,,,,,,,,,0,0,raw/2014/2014_cc_Pitcher_10_28_14_campaign_finance.pdf,cache_county|bbe2004cd314|raw/2014/2014_cc_Pitcher_10_28_14_campaign_finance.pdf,medium,Faxed copy (fax header 'OCT/28/2014/TUE 02:04 PM'). LAST-REPORT boxes carry slashed-O zeros; THIS-REPORT column entirely blank; line 4 CUMULATIVE also blank.
Pitcher,Treasurer,2014,2014-12-04,Final / Year-End Summary,c_and_e_report,4589.00,16037.69,,0,,,,,,,,0,0,raw/2014/2014_cc_Pitcher_Dec_4_2014_campaign_finance.pdf,cache_county|cd6b67bb1d98|raw/2014/2014_cc_Pitcher_Dec_4_2014_campaign_finance.pdf,medium,The Office line has a struck-through word before 'Treasurer' — only the standing word is transcribed. Zeros are hand-drawn glyphs. Cents are superscript.
Barbara Tidwell,County Council,2016,2016-12-08,Final / Year-End Summary,c_and_e_report,0,332.77,,332.77,,,,,,,,0,0,raw/2016/2016_cc_Barbara_Tidwell_Campaign_Finance_Report.pdf,cache_county|12a370ea86ce|raw/2016/2016_cc_Barbara_Tidwell_Campaign_Finance_Report.pdf,medium,Zeros are written as a crossed-through 'X/0' glyph.
Barnard White,County Council,2016,2016-12-07,Final / Year-End Summary,c_and_e_report,,112.50,,-112.50,,,,,,,,0,0,raw/2016/2016_cc_Barnard_White_Campaign_Finance_Report.pdf,cache_county|4147f10c4cf8|raw/2016/2016_cc_Barnard_White_Campaign_Finance_Report.pdf,medium,Lines 1-2 entirely blank. Line 4 CUMULATIVE written '($112.50)' in accounting parentheses.
Casey Saxton,County Council,2016,2016-07-05,Pre-Primary,c_and_e_report,3113.26,3113.26,,0,,,,,,,,0,0,raw/2016/2016_cc_Casey_Saxton_Campaign_Finance_Report.pdf,cache_county|3a9ff74df69f|raw/2016/2016_cc_Casey_Saxton_Campaign_Finance_Report.pdf,high,"contributions <=$50 cumulative printed as 'N/A' (not a number) — stated total omits it; The filer struck out the printed qualifiers on lines 1 and 2 ('who gave more than $50.00' and the whole 'Aggregate total of contributions of $50.00 or less' label) and wrote N/A across line 2 — so line 1 as filed is ALL contributions, not only those over $50. Line 4's CUMULATIVE box is circled by hand."
David Erickson,County Council,2016,2016-12-07,Final / Year-End Summary,c_and_e_report,,2257.46,,,,,,,,,,0,0,raw/2016/2016_cc_David_Erickson_Campaign_Finance_Report.pdf,cache_county|58d263f68027|raw/2016/2016_cc_David_Erickson_Campaign_Finance_Report.pdf,high,"Only line 3 is filled in; lines 1, 2 and 4 are entirely blank."
Karl Ward,County Council,2016,2016-12-12,Final / Year-End Summary,c_and_e_report,2708.00,2232.00,,477.00,,,,,,,,0,0,raw/2016/2016_cc_Karl_Ward_Campaign_Finance_Report.pdf,cache_county|362f9714436c|raw/2016/2016_cc_Karl_Ward_Campaign_Finance_Report.pdf,medium,"⚠ Line 1 LAST-REPORT reads '2,669.00' but the CUMULATIVE box on the same line reads '2,668.00' — an internal disagreement, transcribed as written and NOT reconciled. Line 2 THIS-REPORT holds a struck-out figure (recorded blank). Cents are superscript throughout, and several digits are soft in this scan."
Kevin Rhodes,County Council,2016,2016-12-08,Final / Year-End Summary,c_and_e_report,2456.58,2456.58,,0,,,,,,,,0,0,raw/2016/2016_cc_Kevin_Rhodes_Campaign_Finance_Report.pdf,cache_county|a325817398d1|raw/2016/2016_cc_Kevin_Rhodes_Campaign_Finance_Report.pdf,high,"ADJUDICATES the flagged Kevin Rhodes 2016 false-positive risk: the office line names the COUNTY COUNCIL outright, so this is a county-office filing, not a school-board one. The Rhodes surname also appears in the Cache County School Board canvass, but that is a different filing and a different person-question — this page decides this row."
Jill N. Zollinger,Clerk/Auditor,2018,2018-10-17,Pre-General,c_and_e_report,0,454.24,,454.24,,,,,,,,0,0,raw/2018/2018_cc_Jill_N_Zollinger.pdf,cache_county|23488df5b0c7|raw/2018/2018_cc_Jill_N_Zollinger.pdf,medium,Zeros are hand-drawn open-O glyphs. The filer repeated 454.24 in all three columns of lines 3-4 — retained as filed.
Jill N. Zollinger,Clerk/Auditor,2018,2018-12-05,Final / Year-End Summary,c_and_e_report,0,454.24,,454.24,,,,,,,,0,0,raw/2018/2018_cc_Jill_N_Zollinger_final.pdf,cache_county|346acf16ab7e|raw/2018/2018_cc_Jill_N_Zollinger_final.pdf,medium,Zeros are hand-drawn open-O glyphs.; one transcription applied to 2 index rows (identical bytes)
Jill N. Zollinger,Clerk/Auditor,2018,2018,,c_and_e_report,0,454.24,,454.24,,,,,,,,0,0,raw/2018/2018_st_Zollinger_Jill_N.pdf,cache_county|346acf16ab7e|raw/2018/2018_st_Zollinger_Jill_N.pdf,medium,Zeros are hand-drawn open-O glyphs.; cross-channel byte-identical duplicate — group on sha256 before summing; one transcription applied to 2 index rows (identical bytes)
James M Swink,County Attorney,2018,2018-10-30,Pre-General,c_and_e_report,0,,,,,,,,,,,0,0,raw/2018/2018_cc_James_M_Swink.pdf,cache_county|638b66029a7e|raw/2018/2018_cc_James_M_Swink.pdf,medium,"⚠ The totals block carries the filer's own scratch arithmetic in the margins ('614.81' written above the line-3 LAST box, and '838.56' / '223.75 + 614.81 = 838.56' worked out beside lines 2-4, with the line-3 CUMULATIVE figure struck through). Only the values actually written ON the ruled boxes are transcribed; the marginal working is described here and not promoted to a value.; one transcription applied to 2 index rows (identical bytes)"
James Matthew ( ) Swink,County Attorney,2018,2018,,c_and_e_report,,838.56,,838.56,,,,,,,,0,0,raw/2018/2018_st_Swink_James_Matthew_2.pdf,cache_county|d8bd0eb68115|raw/2018/2018_st_Swink_James_Matthew_2.pdf,high,"'TO' line: 'Cache' struck out and 'JILL ZOLLINGER' written above, 'CACHE' at the right-hand end. Lines 1-2 carry dashes in all columns (recorded blank).; cross-channel byte-identical duplicate — group on sha256 before summing; one transcription applied to 2 index rows (identical bytes)"
James Matthew Swink,County Attorney,2018,2018-12-06,Final / Year-End Summary,c_and_e_report,,838.56,,838.56,,,,,,,,0,0,raw/2018/2018_cc_James_Matthew_Swink_final.pdf,cache_county|d8bd0eb68115|raw/2018/2018_cc_James_Matthew_Swink_final.pdf,high,"'TO' line: 'Cache' struck out and 'JILL ZOLLINGER' written above, 'CACHE' at the right-hand end. Lines 1-2 carry dashes in all columns (recorded blank).; one transcription applied to 2 index rows (identical bytes)"
James Matthew Swink,County Attorney,2018,2018,,c_and_e_report,0,,,,,,,,,,,0,0,raw/2018/2018_st_Swink_James_Matthew.pdf,cache_county|638b66029a7e|raw/2018/2018_st_Swink_James_Matthew.pdf,medium,"⚠ The totals block carries the filer's own scratch arithmetic in the margins ('614.81' written above the line-3 LAST box, and '838.56' / '223.75 + 614.81 = 838.56' worked out beside lines 2-4, with the line-3 CUMULATIVE figure struck through). Only the values actually written ON the ruled boxes are transcribed; the marginal working is described here and not promoted to a value.; cross-channel byte-identical duplicate — group on sha256 before summing; one transcription applied to 2 index rows (identical bytes)"
Gina H. ( ) Worthen,County Council,2018,2018,,c_and_e_report,2035.35,1805.88,,229.47,,,,,,,,0,0,raw/2018/2018_st_Worthen_Gina_H_2.pdf,cache_county|5a09f1a80e06|raw/2018/2018_st_Worthen_Gina_H_2.pdf,high,Line 4 THIS-REPORT is blank.; cross-channel byte-identical duplicate — group on sha256 before summing; one transcription applied to 2 index rows (identical bytes)
Gina H. Worthen,County Council,2018,2018-12-05,Final / Year-End Summary,c_and_e_report,2035.35,1805.88,,229.47,,,,,,,,0,0,raw/2018/2018_cc_Gina_H_Worthen_final.pdf,cache_county|5a09f1a80e06|raw/2018/2018_cc_Gina_H_Worthen_final.pdf,high,Line 4 THIS-REPORT is blank.; one transcription applied to 2 index rows (identical bytes)
Gina H. Worthen,County Council,2018,2018,,c_and_e_report,1997.67,1418.20,,579.47,,,,,,,,0,0,raw/2018/2018_st_Worthen_Gina_H.pdf,cache_county|5223cdcb70e5|raw/2018/2018_st_Worthen_Gina_H.pdf,high,Line 1 LAST-REPORT carries a dash (recorded blank); the rest of that column is blank.; cross-channel byte-identical duplicate — group on sha256 before summing; one transcription applied to 2 index rows (identical bytes)
Gina Worthen,County Council,2018,2018-10-30,Pre-General,c_and_e_report,1997.67,1418.20,,579.47,,,,,,,,0,0,raw/2018/2018_cc_Gina_Worthen.pdf,cache_county|5223cdcb70e5|raw/2018/2018_cc_Gina_Worthen.pdf,high,Line 1 LAST-REPORT carries a dash (recorded blank); the rest of that column is blank.; one transcription applied to 2 index rows (identical bytes)
Gordon Andrew Zilles,County Council,2018,2018-12-05,Final / Year-End Summary,c_and_e_report,97.36,543.06,,640.42,,,,,,,,0,0,raw/2018/2018_cc_Gordon_Andrew_Zilles_final.pdf,cache_county|fff75db9f266|raw/2018/2018_cc_Gordon_Andrew_Zilles_final.pdf,medium,'TO ___ County Clerk' left blank. Zeros in the THIS-REPORT column are small hand-drawn glyphs. Line 4 is filled only in the CUMULATIVE column.; one transcription applied to 2 index rows (identical bytes)
Gordon Andrew Zilles,County Council,2018,2018,,c_and_e_report,97.36,543.06,,640.42,,,,,,,,0,0,raw/2018/2018_st_Zilles_Gordon_Andrew.pdf,cache_county|fff75db9f266|raw/2018/2018_st_Zilles_Gordon_Andrew.pdf,medium,'TO ___ County Clerk' left blank. Zeros in the THIS-REPORT column are small hand-drawn glyphs. Line 4 is filled only in the CUMULATIVE column.; cross-channel byte-identical duplicate — group on sha256 before summing; one transcription applied to 2 index rows (identical bytes)
Gordon H. Zilles,County Council,2018,2018-10-30,Pre-General,c_and_e_report,97.36,543.06,,640.42,,,,,,,,0,0,raw/2018/2018_cc_Gordon_H_Zilles.pdf,cache_county|1c3ac6cc7636|raw/2018/2018_cc_Gordon_H_Zilles.pdf,high,'TO ___ County Clerk' left blank. Lines 3-4 are filled only in the CUMULATIVE column; line 2 is entirely blank.
Jennifer Roark,County Council,2018,2018-10-17,Pre-General,c_and_e_report,1135,,,309.69,,,,,,,,0,0,raw/2018/2018_cc_Jennifer_Roark.pdf,cache_county|59b54dbfc4c4|raw/2018/2018_cc_Jennifer_Roark.pdf,medium,"Line 3 CUMULATIVE box holds a struck-through '309.69' with '925.31' written above it, and the line-4 CUMULATIVE box is initialled 'JN' — the struck value is NOT transcribed and the line-3 CUMULATIVE box is left blank. The line-2 figures are written over earlier digits."
Michael E Johnson,County Council,2018,2018-05-16,,c_and_e_report,,365.09,,,,,,,,,,0,0,raw/2018/2018_cc_Michael_E_Johnson.pdf,cache_county|fdd4026fa702|raw/2018/2018_cc_Michael_E_Johnson.pdf,high,Only the line-3 CUMULATIVE box carries a figure; every other box is blank.
Paul ( ) Borup,County Council,2018,2018,,c_and_e_report,1674.67,1674.67,,0,,,,,,,,0,0,raw/2018/2018_st_Borup_Paul_2.pdf,cache_county|fa7e4cf951e3|raw/2018/2018_st_Borup_Paul_2.pdf,medium,Line 4 LAST-REPORT box carries '0 0' followed by a struck-out figure — recorded as '0'.; cross-channel byte-identical duplicate — group on sha256 before summing; one transcription applied to 2 index rows (identical bytes)
Paul Borup,County Council,2018,2018-11-30,Final / Year-End Summary,c_and_e_report,1674.67,1674.67,,0,,,,,,,,0,0,raw/2018/2018_cc_Paul_Borup_final.pdf,cache_county|fa7e4cf951e3|raw/2018/2018_cc_Paul_Borup_final.pdf,medium,Line 4 LAST-REPORT box carries '0 0' followed by a struck-out figure — recorded as '0'.; one transcription applied to 2 index rows (identical bytes)
Paul Borup,County Council,2018,2018,,c_and_e_report,1674.67,1674.67,,0,,,,,,,,0,0,raw/2018/2018_st_Borup_Paul.pdf,cache_county|69d9025a8e24|raw/2018/2018_st_Borup_Paul.pdf,high,"'N/A' on line 1 of the LAST-REPORT column, with a downward arrow drawn through the rest of that column (lines 2-4 recorded blank). Zeros on line 4 are written '-0-'. The received stamp is hand-written in red.; cross-channel byte-identical duplicate — group on sha256 before summing; one transcription applied to 2 index rows (identical bytes)"
Paul R Borup,County Council,2018,2018-10-29,Pre-General,c_and_e_report,1674.67,1674.67,,0,,,,,,,,0,0,raw/2018/2018_cc_Paul_R_Borup.pdf,cache_county|69d9025a8e24|raw/2018/2018_cc_Paul_R_Borup.pdf,high,"'N/A' on line 1 of the LAST-REPORT column, with a downward arrow drawn through the rest of that column (lines 2-4 recorded blank). Zeros on line 4 are written '-0-'. The received stamp is hand-written in red.; one transcription applied to 2 index rows (identical bytes)"
Rebecca Winstead,County Council,2018,2018-10-29,Pre-General,c_and_e_report,1525.00,1042,,,,,,,,,,0,0,raw/2018/2018_cc_Rebecca_Winstead.pdf,cache_county|47f394a22a38|raw/2018/2018_cc_Rebecca_Winstead.pdf,high,"A hand-written annotation beside the CUMULATIVE header reads '(1125 cash) (400 in kind)' — the filer's own split of the 1375 line-1 figure. It is recorded here as a note, not promoted to a value.; one transcription applied to 2 index rows (identical bytes)"
Rebecca Winstead,County Council,2018,2018-11-28,Final / Year-End Summary,c_and_e_report,1525.00,1322.80,,-47,,,,,,,,0,0,raw/2018/2018_cc_Rebecca_Winstead_final.pdf,cache_county|1f9e888a7960|raw/2018/2018_cc_Rebecca_Winstead_final.pdf,medium,"The '(1125 cash) (400 in kind)' annotation appears again above the line-1 LAST box. Line 3 CUMULATIVE is written '1322.80' although 1042 + 280 = 1322.00 — transcribed as written, not corrected. Zeros in the THIS-REPORT column are slashed-O glyphs.; one transcription applied to 2 index rows (identical bytes)"
Shannon Rhodes,County Council,2018,2018-10-30,Pre-General,c_and_e_report,4799.09,1799.09,,0,,,,,,,,0,0,raw/2018/2018_cc_Shannon_Rhodes.pdf,cache_county|52f0ffda345c|raw/2018/2018_cc_Shannon_Rhodes.pdf,medium,"ADJUDICATES the flagged Shannon Rhodes 2018 false-positive risk: the office line names the CACHE COUNTY COUNCIL outright, so this is a county-office filing, not a school-board one. Faxed copy — the leading digit of line 1 differs between the THIS box ('1,694.09') and the CUMULATIVE box ('4,694.09'), and line 3 differs in the last digit ('1,799.01' vs '1,799.09'); both pairs are transcribed exactly as the fax shows and NOT reconciled.; one transcription applied to 2 index rows (identical bytes)"
Shannon Rhodes,County Council,2018,2018-12-05,Final / Year-End Summary,c_and_e_report,4799.09,1799.09,,0,,,,,,,,0,0,raw/2018/2018_cc_Shannon_Rhodes_final.pdf,cache_county|d9681f38bbe1|raw/2018/2018_cc_Shannon_Rhodes_final.pdf,medium,"ADJUDICATES the flagged Shannon Rhodes 2018 false-positive risk (see the October copy). This is the same signed report re-faxed on 2018-12-05 and filed as the 'final'; the figures are identical, including the same internal 1,694.09/4,694.09 and 1,799.01/1,799.09 disagreements, retained verbatim.; one transcription applied to 2 index rows (identical bytes)"
Shannon Rhodes,County Council,2018,2018,,c_and_e_report,4799.09,1799.09,,0,,,,,,,,0,0,raw/2018/2018_st_Rhodes_Shannon.pdf,cache_county|52f0ffda345c|raw/2018/2018_st_Rhodes_Shannon.pdf,medium,"ADJUDICATES the flagged Shannon Rhodes 2018 false-positive risk: the office line names the CACHE COUNTY COUNCIL outright, so this is a county-office filing, not a school-board one. Faxed copy — the leading digit of line 1 differs between the THIS box ('1,694.09') and the CUMULATIVE box ('4,694.09'), and line 3 differs in the last digit ('1,799.01' vs '1,799.09'); both pairs are transcribed exactly as the fax shows and NOT reconciled.; cross-channel byte-identical duplicate — group on sha256 before summing; one transcription applied to 2 index rows (identical bytes)"
srhodes,County Council,2018,2018,,c_and_e_report,4799.09,1799.09,,0,,,,,,,,0,0,raw/2018/2018_st_campaign_finance_srhodes.pdf,cache_county|d9681f38bbe1|raw/2018/2018_st_campaign_finance_srhodes.pdf,medium,"ADJUDICATES the flagged Shannon Rhodes 2018 false-positive risk (see the October copy). This is the same signed report re-faxed on 2018-12-05 and filed as the 'final'; the figures are identical, including the same internal 1,694.09/4,694.09 and 1,799.01/1,799.09 disagreements, retained verbatim.; cross-channel byte-identical duplicate — group on sha256 before summing; one transcription applied to 2 index rows (identical bytes)"
