ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,body,n_vote_events,independent_source,minutes_path,note
19 of 2021,2021-05-18,2021-05-18,"Adopt Ordinance 19 of 2021, approving the Amended and Restated Broadband Services Franchise agreement with Google Fiber Utah, LLC",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2021-05-18,16,within_source,Council,1,,minutes/2021/2021-05-17/2021-05-18_lba-rda-and-council-formal-meeting.md,
21 of 2021,2021-06-01,2021-06-01,"Adopt Ordinance 21 of 2021, vacating the subject alley adjacent to 1025 West North Temple and 1022, 1028, 1030, and 1032 West Learned Avenue",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,6-0 Pass,2021-06-01,9,within_source,Council,1,,minutes/2021/2021-05-31/2021-06-01_lba-rda-and-council-formal-meeting.md,
22 of 2021,2021-06-01,2021-06-01,"Adopt Ordinance 22 of 2021, vacating the Fern Subdivision Alley located between 1000 East and 1100 East and between Wood Avenue and Logan Avenue",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,6-0 Pass,2021-06-01,10,within_source,Council,1,,minutes/2021/2021-05-31/2021-06-01_lba-rda-and-council-formal-meeting.md,
23 of 2021,2021-06-01,2021-06-01,"Adopt Ordinance 23 of 2021, amending the FY21 Annual Compensation Plan Appendix B for appointed employees",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2021-06-01,13,within_source,Council,1,,minutes/2021/2021-05-31/2021-06-01_lba-rda-and-council-formal-meeting.md,
24 of 2021,2021-06-15,2021-06-15,"Adopt Ordinance 24 of 2021, amending the final budget for the Library Fund for the fiscal year beginning July 1, 2020, and ending June 30, 2021.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2021-06-15,10,within_source,Council,1,,minutes/2021/2021-06-14/2021-06-15_lba-rda-and-council-formal-meeting.md,
25 of 2021,2021-06-15,2021-06-15,"Adopt Ordinance 25 of 2021, amending the FY 2020-2021 final budget of Salt Lake City including the employment staffing document as shown on the motion sheet.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2021-06-15,11,within_source,Council,1,,minutes/2021/2021-06-14/2021-06-15_lba-rda-and-council-formal-meeting.md,
26 of 2021,2021-06-15,2021-06-15,"Fiscal Year 2021- 22 budget.** * A. **(Ordinance 26 of 2021)** Appropriating necessary funds to implement, for Fiscal Year 2022, the provis",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,ordinance number found in minutes text only (no matched vote row),,no,,,,none,Council,0,,meeting_minutes/minutes/2021/2021-06-14/2021-06-15_lba-rda-and-council-formal-meeting.md,"AUDIT: number appears in a minutes budget/appropriation block; the adopting vote is the omnibus budget motion, not a per-number motion (consent-folded)"
27 of 2021,2021-06-15,2021-06-15,"employees in City departments. * B. **(Ordinance 27 of 2021)** Appropriating necessary funds to implement, for Fiscal Year 2022 the provisi",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,ordinance number found in minutes text only (no matched vote row),,no,,,,none,Council,0,,meeting_minutes/minutes/2021/2021-06-14/2021-06-15_lba-rda-and-council-formal-meeting.md,"AUDIT: number appears in a minutes budget/appropriation block; the adopting vote is the omnibus budget motion, not a per-number motion (consent-folded)"
28 of 2021,2021-06-15,2021-06-15,"ployees in the Fire Department. * C. **(Ordinance 28 of 2021)** Appropriating necessary funds to implement, for Fiscal Year 2022, the provis",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,ordinance number found in minutes text only (no matched vote row),,no,,,,none,Council,0,,meeting_minutes/minutes/2021/2021-06-14/2021-06-15_lba-rda-and-council-formal-meeting.md,"AUDIT: number appears in a minutes budget/appropriation block; the adopting vote is the omnibus budget motion, not a per-number motion (consent-folded)"
29 of 2021,2021-06-15,2021-06-15,oyees in the Police Department. * D. **(Ordinance 29 of 2021)** Approving the Fiscal Year 2022 Compensation Plan for all non-represented emp,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,ordinance number found in minutes text only (no matched vote row),,no,,,,none,Council,0,,meeting_minutes/minutes/2021/2021-06-14/2021-06-15_lba-rda-and-council-formal-meeting.md,AUDIT: adopted ordinance number in 2021+ minutes with NO matching vote row
30 of 2021,2021-06-15,2021-06-15,"nal adopted FY22 annual budget. * E. **(Ordinance 30 of 2021)** Approving an ordinance amending Chapter 14.32, Salt Lake City Code, Construc",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,ordinance number found in minutes text only (no matched vote row),,no,,,,none,Council,0,,meeting_minutes/minutes/2021/2021-06-14/2021-06-15_lba-rda-and-council-formal-meeting.md,"AUDIT: number appears in a minutes budget/appropriation block; the adopting vote is the omnibus budget motion, not a per-number motion (consent-folded)"
31 of 2021,2021-06-15,2021-06-15,ions in the Public Right of Way * F. **(Ordinance 31 of 2021)** Approving an ordinance amending several chapters of Salt Lake City Code rela,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,ordinance number found in minutes text only (no matched vote row),,no,,,,none,Council,0,,meeting_minutes/minutes/2021/2021-06-14/2021-06-15_lba-rda-and-council-formal-meeting.md,AUDIT: adopted ordinance number in 2021+ minutes with NO matching vote row
32 of 2021,2021-06-15,2021-06-15,"Motion 1: Adopt Ordinance 32 of 2021, approving Salt Lake City's Fiscal Year 2021-22 budget as outlined in the attached key changes spreadsheets and staffing document, excluding the schedule for capital projects and debt and the Library Fund.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2021-06-15,12,within_source,Council,1,,minutes/2021/2021-06-14/2021-06-15_lba-rda-and-council-formal-meeting.md,
33 of 2021,2021-06-15,2021-06-15,Motion 2: Adopt Ordinance 33 of 2021 approving the budget for the Library Fund of Salt Lake City for Fiscal Year 2021-22.,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2021-06-15,13,within_source,Council,1,,minutes/2021/2021-06-14/2021-06-15_lba-rda-and-council-formal-meeting.md,
34 of 2021,2021-06-15,2021-06-15,"Motion 3: Adopt Ordinance 34 of 2021 setting the final rate of tax levy, including the final levy for the Library Fund, for Fiscal Year 2021-22 at .004076 on each dollar of taxable valuation.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2021-06-15,14,within_source,Council,1,,minutes/2021/2021-06-14/2021-06-15_lba-rda-and-council-formal-meeting.md,
35 of 2021,2021-07-13,2021-07-13,Close the public hearing and adopt Ordinance 35 of 2021 setting the Consolidated Fee Schedule for Fiscal Year 2021-2022.,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2021-07-13,9,within_source,Council,1,,minutes/2021/2021-07-12/2021-07-13_council-formal-meeting.md,
36 of 2021,2021-07-20,2021-07-20,"Suspend the rules and adopt Ordinance 36 of 2021, amending sections of the Salt Lake City code relating to campaign finance reporting and personal campaign committees.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2021-07-20,10,within_source,Council,1,,minutes/2021/2021-07-19/2021-07-20_council-formal-meeting.md,
37 of 2021,2021-07-20,2021-07-20,"Adopt Ordinance 37 of 2021, to amend the zoning map for properties located at approximately 860 and 868 East 3rd Avenue.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2021-07-20,5,within_source,Council,1,,minutes/2021/2021-07-19/2021-07-20_council-formal-meeting.md,
39 of 2021,2021-07-20,2021-07-20,"Adopt Ordinance 39 of 2021, to amend zoning of properties at approximately 850 and 870 East 2100 South.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2021-07-20,6,within_source,Council,1,,minutes/2021/2021-07-19/2021-07-20_council-formal-meeting.md,
40 of 2021,2021-07-20,2021-07-20,"Adopt Ordinance 40 of 2021, to amend the zoning map for a parcel of property at approximately 810 East 800 South.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2021-07-20,7,within_source,Council,1,,minutes/2021/2021-07-19/2021-07-20_council-formal-meeting.md,
41 of 2021,2021-07-20,2021-07-20,"Adopt Ordinance 41 of 2021, amending section 8.04.390 of Salt Lake City Code relating to animals running at large and other parks.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2021-07-20,11,within_source,Council,1,,minutes/2021/2021-07-19/2021-07-20_council-formal-meeting.md,
42 of 2021,2021-07-20,2021-07-20,"Adopt Ordinance 42 of 2021, approving the Memorandum of Understanding between Salt Lake City and International Association of Firefighters Local 81, representing eligible employees, pursuant to the Collective Bargaining and Employee Representation Joint Resolutions.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2021-07-20,12,within_source,Council,1,,minutes/2021/2021-07-19/2021-07-20_council-formal-meeting.md,
43 of 2021,2021-07-20,2021-07-20,"Adopt Ordinance 43 of 2021, appropriating necessary funds to implement, for FY 21-22, the provisions of a Memorandum of Understanding between Salt Lake City Corporation and the American Federation of State, County and Municipal Employees (AFSCME) Local 1004.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2021-07-20,14,within_source,Council,1,,minutes/2021/2021-07-19/2021-07-20_council-formal-meeting.md,
44 of 2021,2021-07-20,2021-07-20,"Adopt Ordinance 44 of 2021, approving a Memorandum of Understanding between Salt Lake City and Salt Lake Police Association, representing the eligible employees, pursuant to the Collective Bargaining and Employee Representation Joint Resolution.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2021-07-20,13,within_source,Council,1,,minutes/2021/2021-07-19/2021-07-20_council-formal-meeting.md,
45 of 2021,2021-08-17,2021-08-17,"Close the Public Hearing and adopt Ordinance 45 of 2021, a rezone of the property at approximately 329-331 South and 600 East (Encircle) from RMF-35 to R-MU-35.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2021-08-17,4,within_source,Council,1,,minutes/2021/2021-08-16/2021-08-17_local-building-authority-and-council-formal-meeting.md,
46 of 2021,2021-08-24,2021-08-24,Adopt Ordinance 46 of 2021.,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2021-08-24,5,within_source,Council,1,,minutes/2021/2021-08-23/2021-08-24_council-formal-meeting.md,
47 of 2021,2021-08-24,2021-08-24,Adopt Ordinance 47 of 2021.,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2021-08-24,4,within_source,Council,1,,minutes/2021/2021-08-23/2021-08-24_council-formal-meeting.md,
48 of 2021,2021-08-24,2021-08-24,"Adopt Ordinance 48 of 2021, with added language requiring a hearing officer to make reasonable efforts to respond to a stay request within 10 days of the appeal being deemed complete, with specific provisions on presumed denial if not decided within 10 days and no stay for incomplete or late appeals.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2021-08-24,6,within_source,Council,1,,minutes/2021/2021-08-23/2021-08-24_council-formal-meeting.md,
49 of 2021,2021-09-07,2021-09-07,Close the public hearing and adopt Ordinance 49 of 2021 permitting restaurants in the Public Lands Zoning District,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,6-0 Pass,2021-09-07,5,within_source,Council,1,,minutes/2021/2021-09-06/2021-09-07_council-formal-meeting.md,
50 of 2021,2021-09-07,2021-09-07,Adopt Ordinance 50 of 2021 to create and organize the Racial Equity in Policing Commission as an ongoing City Board and Commission,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2021-09-07,10,within_source,Council,1,,minutes/2021/2021-09-06/2021-09-07_council-formal-meeting.md,
51 of 2021,2021-09-07,2021-09-07,"Adopt Ordinance 51 of 2021, amending Chapter 15.350 Salt Lake City Code to rename People's Freeway Park to Ballpark Playground",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2021-09-07,11,within_source,Council,1,,minutes/2021/2021-09-06/2021-09-07_council-formal-meeting.md,
52 of 2021,2021-09-21,2021-09-21,"Adopt Ordinance 52 of 2021 amending city code pertaining to fence, wall, and hedge height requirements.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2021-09-21,8,within_source,Council,1,,minutes/2021/2021-09-20/2021-09-21_revised-council-formal-meeting.md,
53 of 2021,2021-09-21,2021-09-21,"Adopt Ordinance 53 of 2021 rezoning parcels at 833 West Hoyt Place and 834 West 200 North from R-1/5,000 and R-1/7,000 to SR-3, subject to a development agreement requiring protection of the single-family use and architecture of the existing structure at 834 West 200 North.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,6-0 Pass,2021-09-21,7,within_source,Council,1,,minutes/2021/2021-09-20/2021-09-21_revised-council-formal-meeting.md,
